amfi_code,alpha,beta,r_squared
100016,-0.05678297942180475,0.0035397085502636995,0.0006536313049347469
100025,0.029420898674033902,0.0021385812289426705,0.003270732088018552
100033,0.2186263490090462,-0.0032385724862926276,0.00033574742858880844
101206,0.24694312461102275,0.004973279270612308,0.0014221379615768754
101207,0.009775032340224678,0.003899407056186015,0.00023196833883472158
101208,0.06155139901106074,6.0304666127846626e-05,0.00015148072822814457
102885,0.2150072061510956,-0.0024614861303628673,0.0003968879510906307
102886,0.14376902738401517,-0.0035255304425288745,0.0004160246528440422
102887,-0.00012279741664592047,-0.001788039110946297,0.0001411988176149887
118632,0.27731464396255856,-0.0023091050769710577,0.0002785888994929921
118633,0.16104614882819485,-0.006133805942430558,0.0021608747468722066
118634,0.23761827989820952,0.006159532044836741,0.0006094997992620033
118635,0.19758222732913425,0.0008251098990372247,4.831598643592809e-05
118636,0.053854816495086624,0.0025934724966976885,0.005062315611963407
119092,0.060814794474155644,0.001539749788959594,0.00012593024999520193
119093,0.03100051304683604,0.007340733648996664,0.0035365897007306577
119094,0.029849667339030946,0.0016851291588341588,8.250018358054547e-05
119095,-0.17002303424121656,-0.01391043449610378,0.004027287391094417
119120,0.03178300317737928,-0.002457991517106197,0.004355284363129207
119551,0.2747481491369563,0.007245304796451207,0.0029296632865987993
119552,0.16983354488075658,-0.0080484430174369,0.0035341758723428473
119598,0.25364032072286724,0.004667687574068021,0.00039791196708162776
119599,0.09763670947264107,0.016877938239044318,0.00521136112948071
120503,0.24639092540261065,0.007777804090029835,0.003758065140559712
120504,0.24166864257507395,-0.007147502840884994,0.002975822428577997
120505,0.2231528385839954,-0.014954673341965928,0.006571299828816303
120506,0.19835219619938135,0.007763535141846838,0.0027958376415048764
120507,0.063606841208713,-0.00010509728479147637,0.0005397892517269093
120841,0.17836667718226368,0.008917291033001193,0.005278471554043286
120842,0.08037703289752497,-0.0050041933753940115,0.0007727916091024136
120843,0.2115893705480482,0.009187074039891227,0.0036439575626259265
120844,0.06429548928398371,0.0003377152365520044,0.005018079088650765
125497,-0.09226272616669928,0.002866064020984032,0.0005298615739705865
125498,0.048853566060338846,-0.003913018858075181,0.0005308664830318693
148567,0.3425648480589057,-0.003546872528857892,0.0007169955459530539
148568,0.21972941828954992,0.003998854924232572,0.0007223299579845808
148569,0.20705970542696753,-0.008393256438069206,0.0026336708260116886
149322,0.2777927920319955,0.0025163254854485657,0.0003428868550787948
149323,0.13278694190532803,0.005850452315251332,0.0012156629923278036
149324,-0.10610836071518162,0.01842811959133644,0.0058210304746346584
